Time/s,Azimuth/deg,Zenith/deg
1,88.99000000,37.83800000
2,89.00000000,40.82500000
3,89.00000000,43.58100000
4,89.00000000,46.15200000
5,87.82000000,37.84000000
6,87.77000000,40.82500000
7,87.72000000,43.58000000
8,87.67000000,46.15000000
9,86.65000000,37.84500000
10,86.54000000,40.82600000
11,86.44000000,43.57800000
12,86.34000000,46.14500000
13,85.48000000,37.85200000
14,85.31000000,40.82800000
15,85.15000000,43.57600000
16,85.01000000,46.13900000
17,84.31000000,37.86100000
18,84.08000000,40.83100000
19,83.87000000,43.57300000
20,83.68000000,46.13100000
21,83.15000000,37.87300000
22,82.85000000,40.83400000
23,82.59000000,43.56900000
24,82.35000000,46.12100000
25,81.98000000,37.88700000
26,81.62000000,40.83900000
27,81.31000000,43.56500000
28,81.02000000,46.10900000
29,80.81000000,37.90400000
30,80.39000000,40.84400000
31,80.03000000,43.56000000
32,79.70000000,46.09600000
33,79.63000000,37.92300000
34,79.16000000,40.85000000
35,78.75000000,43.55500000
36,78.37000000,46.08000000
37,78.46000000,37.94500000
38,77.93000000,40.85700000
39,77.47000000,43.54900000
40,77.04000000,46.06300000
41,77.29000000,37.96900000
42,76.71000000,40.86400000
43,76.18000000,43.54200000
44,75.71000000,46.04400000
45,76.12000000,37.99500000
46,75.48000000,40.87300000
47,74.90000000,43.53500000
48,74.39000000,46.02400000
49,74.95000000,38.02400000
50,74.25000000,40.88200000
51,73.62000000,43.52800000
52,73.06000000,46.00100000
53,73.77000000,38.05500000
54,73.02000000,40.89200000
55,72.34000000,43.51900000
56,71.73000000,45.97700000
57,72.60000000,38.08800000
58,71.78000000,40.90300000
59,71.06000000,43.51100000
60,70.41000000,45.95100000
61,71.42000000,38.12400000
62,70.55000000,40.91400000
63,69.78000000,43.50100000
64,69.08000000,45.92300000
65,70.24000000,38.16100000
66,69.32000000,40.92600000
67,68.50000000,43.49200000
68,67.76000000,45.89400000
69,69.07000000,38.20200000
70,68.09000000,40.94000000
71,67.22000000,43.48100000
72,66.43000000,45.86200000
73,67.89000000,38.24400000
74,66.86000000,40.95300000
75,65.94000000,43.47000000
76,65.11000000,45.83000000
77,66.71000000,38.28800000
78,65.63000000,40.96800000
79,64.66000000,43.45900000
80,63.79000000,45.79500000
81,65.53000000,38.33500000
82,64.40000000,40.98300000
83,63.39000000,43.44700000
84,62.46000000,45.75900000
85,64.34000000,38.38400000
86,63.16000000,40.99900000
87,62.11000000,43.43400000
88,61.14000000,45.72100000
89,63.16000000,38.43400000
90,61.93000000,41.01600000
91,60.83000000,43.42100000
92,59.82000000,45.68100000
93,61.97000000,38.48700000
94,60.70000000,41.03400000
95,59.55000000,43.40800000
96,58.50000000,45.64000000
97,60.79000000,38.54200000
98,59.46000000,41.05200000
99,58.27000000,43.39400000
100,57.18000000,45.59700000
101,59.60000000,38.59900000
102,58.23000000,41.07100000
103,57.00000000,43.37900000
